Epochs,Mean Absolute Error (MAE),Mean Squared Error (MSE),Root Mean Squared Error (RMSE),R-squared (R^2) Score,Cosine Similarity
10.0,1.1722406884162746,2.4638083321298536,1.5696522965707576,0.5583671923254004,0.9601388461856802
100.0,0.8437235148819995,1.4960083739604266,1.223114211331234,0.7318434352700962,0.9759199209816033
200.0,0.844333783722761,1.508163141405433,1.2280729381455455,0.7296647170624466,0.9757696515049777
300.0,0.8330929350527835,1.4956311266006672,1.2229599856907287,0.7319110561188877,0.9761442608214037
400.0,0.8921895534844597,1.62233192863171,1.2737079447941393,0.7092001860378445,0.973851877708669
500.0,0.8356396754589988,1.4866868875801578,1.2192977026059542,0.7335142934079368,0.9761177889105649
600.0,0.8517265345508388,1.4995723272961432,1.22457026229455,0.7312046036298472,0.9758637685060041
700.0,0.8362311986973244,1.5085240979569061,1.2282198899044527,0.7296000163090655,0.975776139009979
800.0,0.8429488047502706,1.5218282416449742,1.2336240276700896,0.7272152746657946,0.9754980138693732
900.0,0.8469345923393746,1.518805781288986,1.232398385786425,0.727757044752247,0.975575598695689
1000.0,0.8171870837363369,1.4316155262701606,1.1965013691050088,0.7433857268309951,0.9769961852932038
1500.0,0.8369504615889135,1.4807945526680795,1.2168790213772607,0.7345704828756989,0.9761672331036212
2000.0,0.8535233227829822,1.5759976205525985,1.2553874384239307,0.7175055198179883,0.9746185788186892
2500.0,0.859491002531489,1.5392432969988439,1.2406624428098256,0.7240936601751538,0.9751974165719755
3000.0,0.8385624112164213,1.518570854664547,1.2323030693236738,0.7277991548885736,0.9756777097350213
3500.0,0.8215897967717442,1.4368184629628826,1.1986736265401365,0.7424531106409307,0.9768711006735513
4000.0,0.8174829376968918,1.3899515202886408,1.178962052098642,0.7508539181268188,0.9776969829728043
4500.0,0.8449254741508633,1.4495345694017285,1.2039661828314483,0.740173773520408,0.9766666552261744
5000.0,0.8191241798509236,1.4538022814479883,1.2057372356562555,0.7394087945126022,0.9766483204152888
5500.0,0.8450794966716441,1.5187836163690762,1.2323893931582972,0.7277610177706364,0.9755927621717391
6000.0,0.8562920035167213,1.561811301709004,1.2497244903213685,0.720048389626391,0.9749106701215345
6500.0,0.8496973264599169,1.4876106170984382,1.2196764395110853,0.7333487167048426,0.9760382686812598
7000.0,0.8343633767402557,1.4678383320892936,1.211543780508692,0.7368928599845199,0.9764065405458785
7500.0,0.8347913024425492,1.522424400994637,1.2338656332820996,0.7271084142724842,0.9754941797202283
8000.0,0.8175203239159136,1.423545632488987,1.1931243156054556,0.7448322394520215,0.9771779735432762
8500.0,0.846208083313457,1.5390826059048897,1.2405976809203254,0.7241224637383474,0.975258259434183
9000.0,0.8273062334225717,1.4311152620136998,1.196292297899514,0.7434753982170681,0.9769775577033115
9500.0,0.8482841148758257,1.4932274808632588,1.221976874111478,0.7323419048995432,0.9760104733555982
10000.0,0.8421817487269765,1.5289137772263932,1.236492530194337,0.7259452063200174,0.9753935740825088
