epochs,Mean Absolute Error (MAE),Mean Squared Error (MSE),Root Mean Squared Error (RMSE),R-squared (R^2) Score,Cosine Similarity
10,1.3233468433349458,3.131811245392591,1.7696924154758056,0.4386289812511608,0.9488923355773894
50,0.8595940230792667,1.5717914156168928,1.2537110574677455,0.7182594737969509,0.9746745748100852
100,0.8536939799698386,1.5191310475487971,1.232530343459664,0.7276987414135949,0.9755296713232419
150,0.8553460496759118,1.5669203698066145,1.2517668991496038,0.7191325991977588,0.9747552207837907
200,0.8423487848320121,1.5265809700067916,1.235548853751559,0.7263633574353947,0.9754253111927932
250,0.8605675647893528,1.6000766957956787,1.2649413803792169,0.7131893928420654,0.9742028989515711
300,0.8351099491539571,1.4655170578155494,1.2105854194626455,0.7373089438419886,0.9764013112444158
350,0.8437527846051669,1.5298865120618417,1.2368858120545492,0.7257708455100064,0.9753700688668914
400,0.8451294470762446,1.5228952770486253,1.2340564318736098,0.7270240106640224,0.9754915999311145
450,0.8571714145812106,1.5637379903880515,1.2504950981063667,0.7197030344622954,0.9747971122327495
500,0.8440403121490903,1.4861104338871858,1.219061292096171,0.7336176216009629,0.9760665069273577
550,0.8287198772406408,1.4837081869942574,1.2180756080778636,0.7340482196414908,0.9761025992711249
600,0.8366032600433629,1.5085514094892418,1.2282310081939969,0.7295951207705003,0.9757255991007197
650,0.8574622550784297,1.5176584001869378,1.2319327904504116,0.7279627105627577,0.9755485886150392
700,0.8427195617130994,1.5062918704332942,1.2273108287770031,0.7300001387113503,0.9757342878100682
750,0.8429114258492779,1.5114177563510087,1.2293973142768,0.7290813337214739,0.9757609370742686
800,0.8413578873392992,1.5357569177555934,1.2392565988347988,0.7247185868115875,0.9752548967176244
850,0.8309473710404219,1.4729346180599148,1.2136451779906328,0.7359793607270624,0.9762774849025402
900,0.8611630342039642,1.5168364443196471,1.231599141084325,0.728110044538669,0.975561951051282
950,0.8388069664843839,1.473865657871858,1.2140286890645782,0.7358124736681775,0.9762624671809048
1000,0.8371469700615296,1.4359991524078561,1.198331820660645,0.7425999704498107,0.9769106727400332
